node_id,blog,in_degree,out_degree,total_degree
309,jetage.blogspot.com,0,3,3
310,jewssansfrontieres.blogspot.com,4,2,6
311,jimgilliam.com,3,3,6
312,jimtreacher.com,24,3,27
313,jinkythecat.blogspot.com,3,11,14
314,jmbzine.com,2,0,2
315,joebrent.blogspot.com,0,10,10
316,john.hoke.org,6,15,21
317,johnmccrory.com,3,40,43
318,johnnynobody.blogspot.com,4,0,4
319,jointhecrowd.blogspot.com,0,0,0
320,jospehsmind.blogspot.com,0,0,0
321,journals.aol.com/breuvers/madashellnotgoingtotakeitanymore,1,3,4
322,jpandre.blogspot.com,0,0,0
323,juancole.com,165,9,174
324,juandejesus.50megs.com/juancomments.html,0,0,0
325,julietterossant.com/superchefblog/superchefblog.html,0,1,1
326,juliusblog.blogspot.com,11,37,48
327,justmark.com,0,1,1
328,karlhenderson.blogspot.com,0,5,5
329,karmicsoup.blogspot.com,3,1,4
330,katyggls.blogspot.com,0,0,0
331,kcdems.blogspot.com,2,4,6
332,kensain.com,6,23,29
333,kerryforpresident2008.blogspot.com,4,5,9
334,kerrytalkingpoints.blogspot.com,0,0,0
335,kicktheleftist.blogspot.com,9,8,17
336,kiersten.connersax.com,0,0,0
337,kiosan.blogharbor.com,5,5,10
338,kippsblog.com,0,1,1
339,kristyandotherwise.blogspot.com,0,0,0
340,kurtkk.blogspot.com,0,2,2
341,kydem.blogspot.com,7,6,13
342,labandadelbuko.ilcannocchiale.it,0,0,0
343,lagernik.blogspot.com,0,0,0
344,lastdaysoftherepublic.fatoprofugus.net,0,10,10
345,lawdork.blogspot.com,2,7,9
346,laylasblog.com,0,0,0
347,leanleft.com,42,43,85
348,leavethematrix.blogspot.com,0,0,0
349,left2right.typepad.com,9,4,13
350,lefterer.com,3,21,24
351,lefti.blogspot.com,16,11,27
352,leftinthereign.blogspot.com,0,4,4
353,leftthought.blogspot.com,1,2,3
354,lefttimes.com,1,0,1
355,leftwingnation.com,0,2,2
356,lendmesomesugar.blogs.com/shut_up_already,0,2,2
357,lennonreport.blogspot.com,1,8,9
358,leonards-digest.blogspot.com,2,1,3
359,lettherebepeace.blogspot.com,0,0,0
360,liberalangst.org,2,0,2
361,liberalavenger.com,10,14,24
362,liberaleric.blogspot.com,0,2,2
363,liberaloasis.com,101,115,216
364,liberalreview.blogspot.com,0,1,1
365,liberalthunderdome.blogspot.com,0,3,3
366,liberationlearning.blogspot.com,0,0,0
367,lightupthedarkness.org,8,0,8
368,lightupthedarkness.org/blog/default.asp,0,6,6
369,limecoconut.blogspot.com,0,0,0
370,limericksavant.blogspot.com,1,2,3
371,liquidlist.com,27,4,31
372,literarybargainville.net,0,0,0
373,livejournal.com/users/hoptkov,0,2,2
374,livejournal.com/users/jmhm,30,9,39
375,livejournal.com/~dailyapple,0,0,0
376,livejournal.com/~ladywriter_mts,0,0,0
377,loadedmouth.com,14,42,56
378,lorenjavier.blogspot.com,0,14,14
379,loud-liberal.blogspot.com,3,3,6
380,loveamericahatebush.com,1,1,2
381,lowrentrat.blogdrive.com,1,6,7
382,ltobs.blogspot.com,0,1,1
383,ludis.blogspot.com,0,14,14
384,ludovicspeaks.typepad.com,1,5,6
385,ludovicspeaks.typepad.com/real_deal,0,6,6
386,madamepresident2020.blogspot.com,0,0,0
387,madkane.com/notable.html,39,131,170
388,maggiespants.co.uk,0,2,2
389,mahablog.com,39,40,79
390,marcbrazeau.blogspot.com,0,17,17
391,margaretcho.com/blog/blog.htm,25,7,32
392,margieburns.com,1,0,1
393,markadams.blogdrive.com,10,23,33
394,markarkleiman.com,59,39,98
395,markch.blogspot.com,0,0,0
396,markschmitt.typepad.com/decembrist,34,11,45
397,markwarnerforpresident2008.blogspot.com,1,0,1
398,martadonayre.com,0,0,0
399,maruthecrankpot.blogspot.com,30,36,66
400,massachusetts-liberal.com,0,1,1
401,mathewgross.com,4,1,5
402,mathewgross.com/blog,25,24,49
403,matthewyglesias.com,0,1,1
404,maultasch.us,2,0,2
405,maxspeak.org/mt,87,7,94
406,mayflowerhill.blogspot.com,1,16,17
407,mcwil.blogspot.com,1,0,1
408,meanspirit.blogspot.com,1,0,1
409,meateatingleftist.com,2,15,17
410,mediajunkie.com/edgewise,3,36,39
411,mediaprima.com/nv1962,1,0,1
412,members.aol.com/ourprez08,0,0,0
413,members.cox.net/aaronjohn,0,0,0
414,messengerpuppet.com/blog,0,2,2
415,metropol47.blogspot.com,2,6,8
416,michael124.blogspot.com,0,8,8
417,michaelberube.com,52,73,125
418,michaelphillips.blogspot.com,2,24,26
419,mickikrimmel.com/redcarpet,0,3,3
420,midguard.blogspot.com,2,4,6
421,minagahet.blogspot.com,0,5,5
422,mirocat.com,3,8,11
423,miss-sassafras.com,0,0,0
424,misschin.bloggage.com,2,1,3
425,missourikid.blog-city.com,0,0,0
426,mixtersmix.blogspot.com,2,2,4
427,montages.blogspot.com,3,9,12
428,moxiegrrrl.com,0,7,7
429,mrleft.org,3,0,3
430,mrstevebeers.blogspot.com,0,0,0
431,msnbc.msn.com/id/3449870,51,36,87
432,mstabile.blogspot.com,24,10,34
433,multitudes.typepad.com,0,0,0
434,mydd.com,114,45,159
435,myducksoup.com/blog/bloglib/bloglib.shtml,0,0,0
436,myleftbrain.com,9,24,33
437,myleftthoughts.blogspot.com,0,1,1
438,mysterypollster.com/main,6,12,18
439,nastyboys.blogspot.com,2,3,5
440,nathancallahan.com,2,5,7
441,nathannewman.org/log,61,17,78
442,nationalreview.com/frum/frum-diary.asp,15,0,15
443,ndnblog.org,15,0,15
444,nearouterheaven.blogspot.com,1,16,17
445,nebursworld.blogspot.com,0,1,1
446,needlenose.com,33,3,36
447,nephandus.com/blog.php,0,0,0
448,nerofiddled.blogspot.com,1,6,7
449,netpolitik.blogspot.com,13,27,40
450,netweed.com/postmodernanarchist,1,1,2
451,newappeal.blogspot.com,1,11,12
452,newdemocrat.blogdrive.com,4,4,8
453,newdonkey.com,25,9,34
454,newleftblogs.blogspot.com,39,140,179
455,news-opinion.blog-city.com,0,0,0
456,newstrolls.com,0,0,0
457,nftl.blogspot.com,0,0,0
458,niagarabuzz.com,0,0,0
459,nickgerman.blogspot.com,0,0,0
460,nielsenhayden.com/electrolite,44,66,110
461,nielsenhayden.com/makinglight,37,20,57
462,njfordemocracy.org,1,0,1
463,njn-blogogram.blogspot.com,0,0,0
464,njsoccermom.blogspot.com,0,0,0
465,node707.com,33,24,57
466,nofearoffreedom.blogspot.com,2,3,5
467,nomoremister.blogspot.com,35,54,89
468,norbizness.com,42,70,112
469,noseyonline.com,5,63,68
470,nosmallplans.com/rants,0,3,3
471,notbush.com,3,0,3
472,notgeniuses.com,28,32,60
473,nuntius.blogspot.com,0,0,0
474,nycitystoop.com,0,1,1
475,obamablog.com,5,12,17
476,obrien4.net/probitus,0,0,0
477,obsidianwings.blogs.com,24,55,79
478,ocd-gx-liberal.blogspot.com,0,0,0
479,oddhours.blogspot.com,5,33,38
480,offthekuff.com/mt,48,24,72
481,oipp.blogspot.com,2,21,23
482,oliphantparts.org/blog,0,0,0
483,oliverwillis.com,117,10,127
484,one38.org,12,30,42
485,onetrueblog.com,0,0,0
486,onhappiness.crimsonblog.com,0,0,0
487,openeyesmemo.com,1,1,2
488,orient-lodge.com,3,0,3
489,ospolitics.org,45,47,92
490,oxblog.blogspot.com,67,20,87
491,pacdaily.com,1,1,2
492,pacificviews.org,50,82,132
493,pandagon.net,123,48,171
494,parabasis.typepad.com,1,3,4
495,patriotboy.blogspot.com,68,34,102
496,pattymurray.com/blog.php,0,3,3
497,paulchasman.com,1,0,1
498,peacegarden.blogspot.com,8,13,21
499,penheaded.blogspot.com,0,7,7
500,pennywit.com/drupal,9,1,10
501,permanentred.com,5,30,35
502,peskytherat.com/pesky,0,1,1
503,phillybri.blogspot.com,5,14,19
504,philoponia.blogspot.com,0,6,6
505,philosophers-stone.blogspot.com,1,4,5
506,philvbblog.blogspot.com,0,1,1
507,phoblographer.com,1,3,4
508,pinkofeministhellcat.typepad.com/pinko_feminist_hellcat,10,47,57
509,planetdave.com/blogs.php3?mid=1,0,1,1
510,politicalinsanity.com,0,0,0
511,politicalmonitor.us/blog,0,8,8
512,politicalstrategy.org,20,131,151
513,politicalthought.net,2,0,2
514,politicalwire.com,103,0,103
515,politics.feedster.com,3,31,34
516,politicswithrichard.blogspot.com,0,1,1
517,polizeros.com,12,4,16
518,pollsterseek.blogspot.com,0,4,4
519,polstate.com,38,5,43
520,popstalin.com/news,0,0,0
521,portapulpit.com,2,4,6
522,posptect.org/weblog,0,0,0
523,praguewriter.typepad.com,1,0,1
524,presidentboxer.blogspot.com,17,109,126
525,prestoncaldwellblog.blogspot.com,0,7,7
526,probitus.obrien4.net,0,0,0
527,profgoose.blogspot.com,2,3,5
528,progressivecyclone.blogspot.com,0,0,0
529,progressivedialogue.com,0,0,0
530,progressiveink.com,4,0,4
531,progressiveink.com/bloggers.php,0,0,0
532,progressivesociety.com/blog,2,8,10
533,progressivetrail.org/blog.shtml,0,0,0
534,proponentofreason.blogspot.com,1,1,2
535,prospect.org/weblog,112,32,144
536,pudentilla.blogspot.com,7,33,40
537,punditician.blogspot.com,0,2,2
538,purplestates.blogspot.com,1,6,7
539,qando.net,61,24,85
540,question-dean.blogspot.com,0,3,3
541,radgeek.com,4,3,7
542,radikal_papi.pitas.com,1,0,1
543,radio.weblogs.com/0131587/categories/flush,0,1,1
544,raedinthemiddle.blogspot.com,24,3,27
545,randz.net,0,0,0
546,rantingred.blogspot.com,0,0,0
547,reachm.com/amstreet,96,45,141
548,readingpost.com,6,0,6
549,realitybasednation.com,5,2,7
550,red-harvest.blogspot.com,6,4,10
551,religiousleft.blogspot.com,5,1,6
552,republicansbite.com,0,0,0
553,republicoft.typepad.com,2,3,5
554,resistoppression.blogspot.com,1,1,2
555,restoreamerica.blogspot.com,0,6,6
556,retrogrouch.net,6,33,39
557,revoltnow-us.blogspot.com,0,0,0
558,reynardfox.com,0,0,0
559,rhetoricrhythm.blogspot.com,7,49,56
560,righthandthief.blogspot.com,9,35,44
561,rising-hegemon.blogspot.com,31,43,74
562,risinghegemon.blogspot.com,2,12,14
563,rittenhouse.blogspot.com,75,12,87
564,riverbendblog.blogspot.com,72,3,75
565,rkook.blogspot.com,0,0,0
566,roadtosurfdom.com,41,50,91
567,robot-invasion.com,3,19,22
568,robschumacher.blogspot.com,6,83,89
569,rockthrower.blogs.com/rockthrower,0,0,0
570,rogerailes.blogspot.com,65,51,116
571,roil.blogspot.com,0,0,0
572,rooksrant.com,33,4,37
573,rowhouselogic.com,3,29,32
574,roxanne.typepad.com,43,61,104
575,rudepundit.blogspot.com,45,15,60
576,rudyforfreeholder.org,0,0,0
577,ruminatethis.com,39,9,48
578,s88172659.onlinehome.us/spockosbrain.html,2,3,5
579,sadlyno.com,47,21,68
580,saveoursenate.blogspot.com,1,4,5
581,savetheus.blogspot.com,0,0,0
582,saxa.blogspot.com,0,0,0
583,sccdp.org/blog.php,1,12,13
584,schadelmann.com,2,1,3
585,scoobiedavis.blogspot.com,32,59,91
586,scott-niven.com/saltwaterpizza,0,0,0
587,scottcsmith.net,7,13,20
588,scripting.com,20,1,21
589,scrutinyhooligans.blogspot.com,16,27,43
590,seeingtheforest.com,1,11,12
591,seetheforest.blogspot.com,75,10,85
592,senatorbarb.typepad.com,0,0,0
593,senorpez.com,0,0,0
594,sequiturnon.blog-city.com,0,0,0
595,sethdmichaels.com,2,0,2
596,shakespearessister.blogspot.com,12,28,40
597,shamelessantagonist.blogspot.com,3,4,7
598,sharedthought.com/weblog,1,4,5
599,shetquaker.blog-city.com,0,0,0
600,shininglight.us,4,11,15
601,shoegal.modblog.com,0,2,2
602,shotofpolitics.blogspot.com,4,24,28
603,shrillblog.blogspot.com,10,1,11
604,simbaud.blogspot.com,22,80,102
605,simplyappalling.blogspot.com,2,8,10
606,skipperstyle.com,0,0,0
607,small-hands.blogspot.com,0,0,0
608,smearbody.blogspot.com,0,0,0
609,smirkingchimp.com,56,0,56
610,smithersmpls.com,2,24,26
611,snooty.binaryclub.com/wp-rdf.php,0,0,0
612,snunes.blogspot.com,6,71,77
613,someonetakethewheel.blogspot.com,0,4,4
614,soonerthought.com,0,5,5
615,southknoxbubba.net/skblog,44,72,116
616,spacedog26.blogspot.com,0,1,1
617,spectatorsport.blogspot.com,0,11,11
618,stagefour.typepad.com/commonprejudice,3,94,97
619,stalinism.com/shot-by-both-sides,1,14,15
620,stcfoundation.blogspot.com,4,39,43
621,stephenbates.com/yellowdoggereldemocrat,23,0,23
622,stevecopy.blogharbor.com,3,3,6
623,stevegilliard.blogspot.com,63,14,77
624,steveguy.me.uk,0,1,1
625,stevemacek.blogspot.com,2,2,4
626,stillfighting.blogspot.com,0,10,10
627,stirs-the-pot.blogspot.com,0,0,0
628,stitt.blogspot.com,0,1,1
629,stonyfield.com/weblog/bovinebugle/index.html,0,0,0
630,stonyfield.com/weblog/strongwomendailynews/index.html,0,0,0
631,strangedoctrines.typepad.com,2,35,37
632,strangesemantics.blogspot.com,1,0,1
633,stzman.org/blog,0,0,0
634,suburbanguerrilla.blogspot.com,61,13,74
635,swamiuptown.com,0,6,6
636,swingleft.blogspot.com,0,0,0
637,swingstateproject.com,21,7,28
638,takeaction.blog-city.com,0,0,0
639,takeactionmichigan.blog-city.com,0,0,0
640,takebackthemedia.com,29,14,43
641,talkingpointsmemo.com,268,14,282
642,talkleft.com,140,21,161
643,tallone.org,0,2,2
644,tbogg.blogspot.com,87,82,169
645,teenageenthusiast.blogspot.com,4,18,22
646,tesibria.typepad.com/democracy_is_coming,0,4,4
647,thatcoloredfellasweblog.bloghorn.com,1,32,33
648,thatgoodnight.com,6,8,14
649,the-goddess.org,20,4,24
650,the-hamster.com,59,11,70
651,theaggpro.blogspot.com,1,0,1
652,theagitator.blogspot.com,0,15,15
653,theangryliberal.blogspot.com,3,2,5
654,theantibush.org,1,0,1
655,theapologist.blogspot.com,1,0,1
656,thebarrexam.blogspot.com,0,0,0
657,theblogwarrior.blogspot.com,0,4,4
658,thebluestate.com,0,0,0
659,theblueview.blogspot.com,2,20,22
660,thecarpetbaggerreport.com,12,27,39
661,thecore4.com,6,12,18
662,thefulcrum.blogspot.com,17,5,22
663,theimmoralminority.blogspot.com,0,0,0
664,theleftcoaster.com,82,50,132
665,thelefthand.blogspot.com,0,0,0
666,thelonedem.com,1,0,1
667,thelucideye.blogspot.com,1,6,7
668,thepeach.blogspot.com,0,5,5
669,thepoorman.net,62,49,111
670,theradiomansays.blogspot.com,0,1,1
671,therogueangel.com/blog,6,2,8
672,therustybarrel.com/david/blog,0,0,0
673,thesiliconmind.blogspot.com,0,0,0
674,thesnooter.blogspot.com,1,1,2
675,thetalentshow.org,33,56,89
676,thetalkingdog.com,36,62,98
677,thewashingtonnote.com,32,4,36
678,thewilson.blogspot.com,0,0,0
679,theworldaroundyou.com,5,3,8
680,thewritewing.blogspot.com,1,2,3
681,theyetimn.blogspot.com,2,9,11
682,thingsasitis.net,1,0,1
683,think2004.com,0,6,6
684,thinkingrocks.blogspot.com,1,2,3
685,thirdredeye.blogspot.com,0,8,8
686,thislousytshirt.net,2,0,2
687,thismodernworld.com,104,2,106
688,thomasblog.typepad.com/bloggg,6,38,44
689,thunewatch.squarespace.com,1,1,2
690,tinylittledots.com,1,0,1
691,tobyemden.blogspot.com,0,9,9
